# 毒素コード
55418	バリン・Ｖａｌ・Ｖ
55434	非病原性不完全菌類
55439	パラインフルエンザウィルス
55440	百日咳
55451	チフス菌毒素
55455	寄生虫
55466	癌毒素
55472	朝鮮あざみ、きくいも
55473	鱈（たら）
55474	濃縮牛乳
55475	ペカン（胡桃の一種）
55477	ペニシリウム・アトラメントサム
55486	リニュロン
55487	臭素毒
55488	酸性・アルカリ性中毒
55506	クラミディア
55508	コクサッキーウィルス
55509	膀胱炎毒素
55510	エコーウィルス
55514	マラリア菌毒素
55532	ｱﾚﾙｷﾞｰ反応からの毒素
55552	カシュウナッツ
55559	痛み毒素
55585	ワクシニアウィルス
55598	ココナッツ
55599	卵黄
55607	シナモン
55608	マンゴー
55609	オリーブの実
55618	月経毒素
55628	蠣（かき）
55630	セクレチン
55651	アボガド
55652	いんげん豆
55653	さやえんどう
55654	セロリ
55656	①コーヒーの素、②カレー粉の素
55657	カゼイン
55658	ペパーミント
55659	パプリカ
55660	アメリカぼうふう
55661	甘唐辛子
55662	兎の肉
55663	菰
55664	黒胡桃
55665	アスペルギルス・ニヅランス
55666	ホルモデンドラム属
55667	ペニシリウム属
55679	きくぢしゃ
55680	豚肉
55681	ラズベリー
55682	ペニシリウム・エクスパンサム
55686	イソロイシン・Ｉｌｅ・Ｉ
55696	にしん
55697	タイム・たちじゃこそう
55701	ベニバナの種
55712	まぐろ
55713	アスペルギルス・テリウス
55714	ロドトルラ・グルチニス
55715	フザリウム・バシンフェクタム
55716	ペニシリウム・カーミノビオラス
55729	黄体化ホルモン・ＬＨ
55731	ｲﾝﾌﾙｴﾝｻﾞ菌毒素(1978ﾛｼｱ)
55747	卵白
55748	ペニシリウム・イントリカタム
55749	ステンフィリウム属
55757	アーモンド
55758	月桂樹
55759	セージ・サルビア
55803	副腎皮質刺激ホルモン
55804	エンテロガストロン
55805	オキシトシン
55810	ストレス毒素
55826	スイスチーズ
55827	ひら豆・レンズ豆
55828	パイナップル
55829	砂糖
55830	アスペルギルス・フミガタス
55832	ムコール属
55833	フォーマ属
55836	メチダチオン
55837	クロルピリホス
55860	アルミニウム毒
55861	ストリキニーネ
55868	ロベリア中毒
55874	マグネシウム毒
55887	Ｃａ１２－５
55892	白身魚
55909	結核症菌毒素
55917	甲状腺刺激ホルモン
55927	胡麻
55930	ささげ豆
55931	蟹の肉
55932	タピオカ
55933	爪糸状菌症
55934	アスペルギルス属
55935	パラチオンメチル
55948	鉛中毒
55959	ヒスタミン
55968	舌鮃
55969	フォーマ属
55973	一般毒
55987	メトラクロル
55991	ベロナール中毒
55995	牛の肝臓
55996	ガムの素
55999	セリン・Ｓｅｒ・Ｓ
65027	ショック毒素
65029	連鎖球菌毒素
65031	超短波放射線
65055	百日咳菌毒素
65057	グルタミン・Ｇｌｎ・Ｑ
65121	ウィルス
65144	合成フッ化物(dental)
65147	タバコモザイクウィルス
65186	あんず
65187	うずら豆
65188	チコリー・キクニガナ
65189	きゅうり
65190	卵
65192	ライム
65193	マスタード
65195	米
65196	ほうれん草
65197	紅茶
65198	バニラ
65199	小麦
65200	デマチウム属・スポロトリカム属
65201	ヘルミントスポリウム属
65203	ペニシリウム・ロックフォルチ
65215	コーラ
65216	ホップ
65217	アスペルギルス・グラウカス
65218	モニリア・シトフィラ
65219	ステンフィリウム属
65220	エピコッカム属
65221	トリコデルマ・ビリディ
65230	シアナジン　41
65233	モニリア・シトフィラ
65240	オキサミル
65241	アルコール毒
65242	モルヒネ毒
65243	亜鉛毒
65265	グレープフルーツ
65266	麦芽
65267	はっか
65268	桃
65269	かぼちゃ
65270	ボトリチス・シネレア
65271	サッカロマイセス・セレビシエ
65274	フェンバレレート
65275	オリザリン
65296	ペニシリウム属
65305	キニーネ毒
65313	ストレプトミセス属
65314	オート麦
65341	はしばみ・ヘーゼルナッツ
65342	さば
65343	リゾープス・ニグリカンス
65344	アスペルギルス・ニガー
65345	ペシロミセス属
65346	ペニシリウム・ノタータム
65350	アトラジン
65403	たら
65404	子羊
65405	ナツメグ
65406	梨
65411	にんじん
65412	けしの実
65413	ます
65432	煙草中毒
65456	セファロスポリウム・ｱｸﾚﾓﾆｳﾑ
65457	ペニシリウム・アトラメントサム
65469	チョコレート、ココア
65471	燐酸肥料
65474	硫黄毒
65497	ビーナイン
65514	レモン
65530	アスパラガス
65531	酵母
65538	ジメチルジチオカルバミン酸鉄
65561	大鮃（おひょう）
65562	山羊の乳
